7724	13	6	11	3	57	17	38	33	9	18	8	4	16	8	48	116	35
4	40	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	0	88	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	143	8	1	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	26	135	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	1	0	60	3	0	0	0	0	0	0	0	3	0
17	0	0	0	0	1	0	0	40	0	0	0	1	0	0	0	0	0
2	0	0	0	0	0	0	1	0	24	6	10	3	1	0	0	0	0
5	0	0	0	0	0	0	0	1	4	18	1	2	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	18	1	4	0	0	0	0
3	0	0	0	0	0	0	0	0	1	0	0	15	1	6	0	0	0
6	0	0	0	0	0	0	0	0	0	0	1	0	42	13	0	0	0
14	0	0	0	0	0	0	0	0	0	0	2	0	3	34	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	70
