7889	8	11	4	4	64	29	44	46	11	25	9	11	7	7	61	152	58
10	28	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	68	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
26	22	0	47	0	0	0	0	0	0	0	0	0	0	0	0	2	0
4	0	16	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	142	28	1	2	0	0	0	0	0	0	0	0	0
21	0	0	0	0	21	102	1	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	1	0	42	7	2	0	1	0	1	0	0	3	0
17	0	0	0	0	0	0	12	19	1	0	1	0	0	0	0	0	0
4	0	0	0	0	0	1	0	0	17	10	7	2	1	0	0	0	0
4	0	0	0	0	0	0	0	1	6	7	4	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	6	4	3	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	12	8	1	0	0	0	0
6	0	0	0	0	0	0	0	1	0	0	0	1	39	17	0	0	0
23	0	0	0	0	0	0	0	1	2	0	0	0	15	37	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
